Brand,Model,Production_year
DMC,DeLorean,1981
MINI,John Cooper Works Countryman,2017
Polestar,Polestar 1,2020
SRT,Viper GTS,2014
Alfa Romeo,Giulia Quadrifoglio,2016
Aston Martin,DB11,2017
Aston Martin,DB11 Volante,2018
Aston Martin,DB5,1964
Aston Martin,Vulcan,2016
Audi,R8 Coup V10 performance quattro,2019
Audi,RS 6 Avant,2020
Audi,S5 Sportback,2017
BMW,i8 Coup,2018
BMW,i8 Roadster,2018
BMW,M1,1981
BMW,M2 Competition,2019
BMW,M2 Coupe,2023
BMW,M3 Competition Touring,2023
BMW,M3 Convertible,2010
BMW,M3 Coupe,2010
BMW,M3 E46,2006
BMW,M3 Evolution II,1988
BMW,M3 GTR Legends Edition,2005
BMW,M4 Convertible,2018
BMW,M4 Coupe,2018
BMW,M4 GTS,2016
BMW,M5,2018
BMW,S 1000 RR,2019
BMW,X6 M,2016
BMW,Z4 M40i,2019
Porsche,718 Cayman GTS,2018
Porsche,911 Carrera GTS,2018
Porsche,911 Carrera GTS Cabriolet,2018
Porsche,911 Carrera RSR 2.8,1973
Porsche,911 Carrera S,1997
Porsche,911 GT2 RS,2018
Porsche,911 GT3 RS,2019
Porsche,911 Targa 4 GTS,2018
Porsche,911 Turbo S Cabriolet Exclusive,2018
Porsche,911 Turbo S Exclusive Series,2018
Porsche,918 Spyder,2015
Porsche,959 S,1987
Porsche,Boxster 718 Spyder,2020
Porsche,Cayman GT4,2015
Porsche,Panamera Turbo,2017
Porsche,Taycan Turbo S,2022
Honda,Civic Type-R,2000
Honda,Civic Type-R,2015
Honda,Integra Type-R,1998
Honda,NSX Type-R,1992
Honda,S2000 Ultimate Edition,2009
Buick,Grand National GNX,1987
Bugatti,Chiron Sport,2017
Volkswagen,Bettle,1963
Volkswagen,Golf GTI,1976
Volkswagen,Golf GTI Club Sport,2016
Dodge,Challenger SRT8,2014
Dodge,Charger R/T,1969
Dodge,Charger SRT Hellcat,2019
Ferrari,458 Italia,2009
Ferrari,458 Spider,2011
Ferrari,488 GTB,2016
Ferrari,488 Pista,2019
Ferrari,F40,1988
Ferrari,FXX-K Evo,2018
Ferrari,LaFerrari,2016
Ferrari,Testarossa Coup¨¦,1984
Ford,Crown Victoria,2008
Ford,F-150 Raptor,2017
Ford,Focus RS,2016
Ford,GT,2017
Ford,Mustang,1965
Ford,Mustang BOSS 302,1969
Ford,Mustang Dark Horse,2024
Ford,Mustang Foxbody,1990
Ford,Mustang GT,2015
Ford,Mustang GT Convertible,2019
Jaguar,F-TYPE R Convertible,2019
Jaguar,F-TYPE R Coup,2016
Koenigsegg,Regera,2016
Lamborghini,Aventador LP750-4 SV Superveloce Roadster,2015
Lamborghini,Aventador S,2016
Lamborghini,Aventador S Roadster,2017
Lamborghini,Aventador SVJ Coup¨¦,2018
Lamborghini,Aventador SVJ Roadster,2019
Lamborghini,Countach 25th Anniversary,1989
Lamborghini,Countach LPI 800-4,2021
Lamborghini,Diablo SV,1995
Lamborghini,Hurac¨¢n LP580-2,2018
Lamborghini,Hurac¨¢n LP580-2 Spyder,2018
Lamborghini,Hurac¨¢n Performante,2018
Lamborghini,Hurac¨¢n Performante Spyder,2018
Lamborghini,Murci¨¦lago SV,2010
Lamborghini,Urus,2018
Land Rover,Defender 110 Double Cab Pickup,2015
Land Rover,Range Rover Sport SVR,2015
Lotus,Emira,2021
Lotus,Evija,2023
Lotus,Exige S,2006
Mazda,MX5,1996
Mazda,MX5,2015
Mazda,RX-7 Spirit R,2002
Mazda,RX-8 R3,2011
Mclaren,570S,2015
Mclaren,570S Spider,2018
Mclaren,600LT,2018
Mclaren,F1,1993
Mclaren,P1,2014
Mclaren,P1 GTR,2015
Mercedes-AMG,A 45,2016
Mercedes-AMG,C 63 Cabriolet,2018
Mercedes-AMG,C 63 Coupe,2018
Mercedes-AMG,G 63,2017
Mercedes-AMG,GT Black Series,2021
Mercedes-AMG,GT R,2017
Mercedes-AMG,GT S,2019
Mercedes-AMG,GT S Roadster,2019
Mercedes-Benz,190E 2.5,1988
Mercedes-Maybach,S 680,2021
Acura,NSX,2017
Acura,RSX-S,2004
Pagani,Huayra BC,2017
Pontiac,Firebird,1977
Plymouth,BarraCuda,1970
Nissan,180SX Type X,1996
Nissan,350Z,2008
Nissan,370Z Heritage Edition,2019
Nissan,370Z Nismo,2015
Nissan,Fairlady 240ZG,1971
Nissan,GT-R Nismo,2017
Nissan,GT-R Premium,2017
Nissan,Silvia K's,1998
Nissan,Silvia Spec.R Aero,2002
Nissan,Skyline 2000 GT-R,1971
Nissan,Skyline GT-R V-Spec,1993
Nissan,Skyline GT-R V-Spec,1999
Nissan,Z Proto,2022
Mitsubishi,Eclipse GSX,1999
Mitsubishi,Lancer Evolution IX,2007
Mitsubishi,Lancer Evolution X,2008
Mercury,Cougar,1967
Subaru,BRZ Premium,2014
Subaru,Impreza WRX STI,1999
Subaru,Impreza WRX STI,2006
Subaru,Impreza WRX STI,2010
Volvo,242DL,1975
Volvo,Amazon P130,1970
Chevrolet,Bel Air,1955
Chevrolet,C10 Stepside,1965
Chevrolet,Camaro SS,1967
Chevrolet,Camaro Z28,2014
Chevrolet,Colorado ZR2,2017
Chevrolet,Corvette Grand Sport,2017
Chevrolet,Corvette Stingray,2020
Chevrolet,Corvette Stingray Convertible,2020
Chevrolet,Corvette Z06,2013
Chevrolet,Corvette ZR1,2019
Infinity,Q60S,2017
